title,make,model,year,condition,transmission,price
Mercedes-Benz C300 2015 White,Mercedes-Benz,C300,2015,local used,automatic,"₦ 14,554,687"
Honda Accord 2013 Silver,Honda,Accord,2013,foreign used,automatic,"₦ 14,000,000"
Honda Accord Coupe EX V6 2005 Black,Honda,Accord Coupe,2005,local used,automatic,"₦ 2,050,000"
Toyota Venza 2012 Red,Toyota,Venza,2012,local used,automatic,"₦ 18,000,000"
New Nissan Patrol 2025 Black,New,Nissan Patrol,2025,brand new,automatic,"₦ 225,000,000"
Mercedes-Benz CLK 2012 Gray,Mercedes-Benz,CLK,2012,local used,automatic,"₦ 19,900,000"
Toyota Camry XSE 2021 Teal,Toyota,Camry XSE,2021,foreign used,automatic,"₦ 29,500,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2011 Silver,Toyota,Camry SE,2011,foreign used,automatic,"₦ 10,500,000"
Hyundai Elantra 2012 Red,Hyundai,Elantra,2012,foreign used,automatic,"₦ 11,770,312"
Honda Pilot EX 4dr SUV 4WD (3.5L 6cyl 5A) 2009 Gray,Honda,Pilot EX,2009,foreign used,automatic,"₦ 10,500,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2012 Red,Toyota,Corolla LE,2012,local used,automatic,"₦ 6,900,000"
Toyota Corolla 1.4 D Automatic 2004 Black,Toyota,Corolla 1,2004,local used,automatic,"₦ 4,200,000"
Lexus ES 350 2008 Black,Lexus,ES 350,2008,foreign used,automatic,"₦ 10,000,000"
Acura MDX SUV 4dr AWD (3.7L 6cyl 6A) 2013 Black,Acura,MDX SUV,2013,foreign used,automatic,"₦ 11,200,000"
Honda Accord Sedan SE 2011 Black,Honda,Accord Sedan,2011,local used,automatic,"₦ 6,500,000"
Hyundai Santa Fe 2008 Gold,Hyundai,Santa Fe,2008,local used,automatic,"₦ 6,500,000"
Honda Pilot 2004 Blue,Honda,Pilot,2004,local used,automatic,"₦ 5,695,312"
