title,make,model,year,condition,transmission,price
Honda Accord 2014 Gold,Honda,Accord,2014,local used,automatic,"₦ 9,650,000"
Toyota RAV4 Limited 4dr SUV (2.5L 4cyl 6A) 2015 Orange,Toyota,RAV4 Limited,2015,foreign used,automatic,"₦ 24,800,000"
Hyundai Sonata SE Sedan FWD (2.4L 4cyl 6A) 2013 Blue,Hyundai,Sonata SE,2013,foreign used,automatic,"₦ 11,000,000"
Mercedes-Benz C300 Luxury 4dr AWD 4Matic Sedan (2.0L 4cyl 7A) 2015,Mercedes-Benz,C300 Luxury,2015,foreign used,automatic,"₦ 24,500,000"
Toyota Highlander Limited 4x4 V6 (3.5L 6cyl 8A) 2017 Black,Toyota,Highlander Limited,2017,foreign used,automatic,"₦ 35,000,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2017 White,Mercedes-Benz,GLE-Class AMG,2017,foreign used,automatic,"₦ 66,000,000"
Honda Civic DX 2dr Coupe 2000 Silver,Honda,Civic DX,2000,local used,automatic,"₦ 2,200,000"
New Lexus LX 2025 Gray,New,Lexus LX,2025,brand new,automatic,"₦ 345,000,000"
Nissan Rogue S 2008 Silver,Nissan,Rogue S,2008,local used,automatic,"₦ 5,950,000"
Toyota Camry 2014 Red,Toyota,Camry,2014,foreign used,automatic,"₦ 13,950,000"
Toyota Yaris 2007 Black,Toyota,Yaris,2007,local used,automatic,"₦ 3,990,000"
New Toyota Land Cruiser Prado 2.4 Petrol 2024 Black,New,Toyota Land,2024,brand new,automatic,"₦ 150,000,000"
Lexus GX 2024 Gray,Lexus,GX,2024,foreign used,automatic,"₦ 211,000,000"
New Mercedes-Benz G-Class 2025 Silver,New,Mercedes-Benz G-Class,2025,brand new,automatic,"₦ 590,000,000"
Hyundai Sonata 2015 Blue,Hyundai,Sonata,2015,foreign used,automatic,"₦ 13,500,000"
Ford Explorer Limited 4dr 4x4 (3.5L 6cyl 6A) 2012 Gray,Ford,Explorer Limited,2012,local used,automatic,"₦ 4,620,000"
Mercedes-Benz G-Class Base G 63 AMG AWD 2013 Black,Mercedes-Benz,G-Class Base,2013,local used,automatic,"₦ 61,000,000"
Toyota Land Cruiser Prado 2019 Black,Toyota,Land Cruiser,2019,local used,automatic,"₦ 58,500,000"
Mercedes-Benz C300 Luxury 4dr AWD 4Matic Sedan (2.0L 4cyl 7A) 2015,Mercedes-Benz,C300 Luxury,2015,foreign used,automatic,"₦ 21,000,000"
Toyota Hilux 2020 Black,Toyota,Hilux,2020,foreign used,automatic,"₦ 67,000,000"
New Lexus RX 350 RX 350 Luxury AWD 2025 Black,New,Lexus RX,2025,brand new,automatic,"₦ 159,000,000"
Toyota Highlander XLE 4x4 V6 (3.5L 6cyl 8A) 2018 Red,Toyota,Highlander XLE,2018,foreign used,automatic,"₦ 33,000,000"
Toyota Camry 2018 Red,Toyota,Camry,2018,foreign used,automatic,"₦ 36,500,000"
Toyota Corolla 2000 Blue,Toyota,Corolla,2000,local used,automatic,"₦ 2,580,000"
Toyota Hilux 2006 White,Toyota,Hilux,2006,local used,manual,"₦ 7,900,000"
New Land Rover Range Rover Vogue 2025 White,New,Land Rover,2025,brand new,automatic,"₦ 480,000,000"
Toyota Avensis 2003 Gray,Toyota,Avensis,2003,local used,automatic,"₦ 3,950,000"
Lexus RX 2012 White,Lexus,RX,2012,foreign used,automatic,"₦ 24,679,687"
Lexus RX 2001 Silver,Lexus,RX,2001,local used,automatic,"₦ 5,062,500"
BMW X6 2016 White,BMW,X6,2016,foreign used,automatic,"₦ 75,937,500"
Acura MDX 2005 Red,Acura,MDX,2005,local used,automatic,"₦ 3,796,875"
Toyota Corolla 2010 Gray,Toyota,Corolla,2010,local used,automatic,"₦ 8,859,375"
Toyota Coaster 2001 Beige,Toyota,Coaster,2001,foreign used,manual,"₦ 88,593,750"
Lexus GX 2015 Black,Lexus,GX,2015,local used,automatic,"₦ 36,703,125"
New Lexus GX 550 Luxury 4WD 2025 Gray,New,Lexus GX,2025,brand new,automatic,"₦ 230,000,000"
Lexus LX 570 (5 seats) AWD 2017 Gray,Lexus,LX 570,2017,foreign used,automatic,"₦ 93,000,000"
Mercedes-Benz GLC-Class 2025 Black,Mercedes-Benz,GLC-Class,2025,foreign used,automatic,"₦ 197,000,000"
Mercedes-Benz G-Class G 63 AMG 4MATIC 2019 Black,Mercedes-Benz,G-Class G,2019,foreign used,automatic,"₦ 239,000,000"
Mercedes-Benz GLC-Class 2024 Black,Mercedes-Benz,GLC-Class,2024,foreign used,automatic,"₦ 142,000,000"
Rover Land 2018 Blue,Rover,Land,2018,local used,automatic,"₦ 31,640,625"
Mercedes-Benz GLC-Class 2017 Black,Mercedes-Benz,GLC-Class,2017,foreign used,automatic,"₦ 40,000,000"
BMW F-Series 2016 Green,BMW,F-Series,2016,foreign used,automatic,"₦ 16,740,000"
Toyota Tacoma 2013 Black,Toyota,Tacoma,2013,local used,automatic,"₦ 15,400,000"
Hyundai Sonata 2016 Blue,Hyundai,Sonata,2016,local used,automatic,"₦ 9,950,000"
Mercedes-Benz G-Class 2008 Yellow,Mercedes-Benz,G-Class,2008,local used,automatic,"₦ 35,000,000"
Ford Edge 2012 Black,Ford,Edge,2012,foreign used,automatic,"₦ 6,950,000"
Lexus IS 200t 2016 White,Lexus,IS 200t,2016,local used,automatic,"₦ 13,000,000"
Mercedes-Benz GLE-Class GLE 350 2016 White,Mercedes-Benz,GLE-Class GLE,2016,foreign used,automatic,"₦ 33,000,000"
Toyota Camry XSE V6 FWD (3.5L 6cyl 8AM) 2018 White,Toyota,Camry XSE,2018,foreign used,automatic,"₦ 32,000,000"
Lexus RX 350 2022 White,Lexus,RX 350,2022,foreign used,automatic,"₦ 68,000,000"
Toyota Camry SE FWD (2.5L 4cyl 8AM) 2018 Gray,Toyota,Camry SE,2018,foreign used,automatic,"₦ 24,500,000"
Mitsubishi Outlander 2014 Black,Mitsubishi,Outlander,2014,local used,automatic,"₦ 6,950,000"
New Lexus LX 600 2025 Black,New,Lexus LX,2025,brand new,automatic,"₦ 540,000,000"
Mercedes-Benz E350 2014 White,Mercedes-Benz,E350,2014,foreign used,automatic,"₦ 21,900,000"
Toyota Camry 2005 Gray,Toyota,Camry,2005,local used,automatic,"₦ 3,700,000"
Honda CR-V 2018 Black,Honda,CR-V,2018,foreign used,automatic,"₦ 23,800,000"
Toyota Land Cruiser 4.6 V8 VX-R 2014 Black,Toyota,Land Cruiser,2014,local used,automatic,"₦ 50,000,000"
New Mercedes-Benz SL-Class AMG SL 63 AWD 2024 Blue,New,Mercedes-Benz SL-Class,2024,brand new,automatic,"₦ 460,000,000"
Mercedes-Benz M Class ML400 4MATIC 4dr SUV AWD (3.0L 6cyl Turbo 7A),,,,foreign used,automatic,"₦ 30,000,000"
Land Rover Range Rover Sport HSE Dynamic 4x4 2020 Gray,Land,Rover Range,2020,foreign used,automatic,"₦ 45,000,000"
Toyota Land Cruiser Prado 2014 Gray,Toyota,Land Cruiser,2014,local used,automatic,"₦ 35,900,000"
Toyota Camry 2019,Toyota,Camry,2019,foreign used,automatic,"₦ 20,500,000"
Toyota Highlander 2010 Blue,Toyota,Highlander,2010,local used,automatic,"₦ 9,450,000"
BMW 328i 2013 White,BMW,328i,2013,foreign used,automatic,"₦ 14,800,000"
Toyota Sienna 2007 Gold,Toyota,Sienna,2007,local used,automatic,"₦ 6,900,000"
Toyota Land Cruiser 2013 Black,Toyota,Land Cruiser,2013,local used,automatic,"₦ 47,000,000"
Toyota Land Cruiser Prado 2022 Black,Toyota,Land Cruiser,2022,local used,automatic,"₦ 16,000,000"
Hyundai Sonata 2013 Gray,Hyundai,Sonata,2013,foreign used,automatic,"₦ 10,700,000"
BMW 535i 2013 Blue,BMW,535i,2013,foreign used,automatic,"₦ 20,500,000"
Mercedes-Benz M Class 2012 Black,Mercedes-Benz,M Class,2012,local used,automatic,"₦ 13,200,000"
BMW X5 xDrive35i Sport Activity AWD (3.0L 6cyl 8A) 2013 Gold,BMW,X5 xDrive35i,2013,foreign used,automatic,"₦ 16,740,000"
Toyota Yaris 2010 Black,Toyota,Yaris,2010,local used,automatic,"₦ 5,450,000"
Toyota Highlander 2009 Silver,Toyota,Highlander,2009,local used,automatic,"₦ 9,750,000"
Mercedes-Benz E350 2012 Blue,Mercedes-Benz,E350,2012,local used,automatic,"₦ 9,450,000"
Toyota Corolla 2010 Gray,Toyota,Corolla,2010,local used,automatic,"₦ 6,650,000"
Toyota Sienna 2007 Gold,Toyota,Sienna,2007,local used,automatic,"₦ 6,650,000"
Toyota Camry STD 4dr Sedan (2.4L 4cyl 5M) 2004 Blue,Toyota,Camry STD,2004,local used,automatic,"₦ 4,500,000"
Toyota Camry 2014 Black,Toyota,Camry,2014,local used,automatic,"₦ 10,500,000"
Mercedes-Benz GLA 250 2015 Gray,Mercedes-Benz,GLA 250,2015,foreign used,automatic,"₦ 20,000,000"
Toyota RAV4 2014 Black,Toyota,RAV4,2014,local used,automatic,"₦ 13,500,000"
Toyota Sienna 2004 Gold,Toyota,Sienna,2004,local used,automatic,"₦ 5,680,000"
New Toyota Hilux 2024 Black,New,Toyota Hilux,2024,brand new,automatic,"₦ 64,500,000"
Toyota RAV4 2020 Black,Toyota,RAV4,2020,foreign used,automatic,"₦ 35,000,000"
Honda Accord 2013 Black,Honda,Accord,2013,local used,automatic,"₦ 8,700,000"
Toyota Land Cruiser Prado 2014 Black,Toyota,Land Cruiser,2014,local used,automatic,"₦ 25,000,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2013 Gray,Toyota,Camry XLE,2013,foreign used,automatic,"₦ 14,000,000"
Toyota Land Cruiser Prado 2016 Black,Toyota,Land Cruiser,2016,local used,automatic,"₦ 32,000,000"
Toyota Corolla 2019 Red,Toyota,Corolla,2019,foreign used,automatic,"₦ 15,900,000"
Mercedes-Benz GLC-Class 2024 Silver,Mercedes-Benz,GLC-Class,2024,foreign used,automatic,"₦ 187,000,000"
Nissan Armada LE 2008 Black,Nissan,Armada LE,2008,foreign used,automatic,"₦ 10,000,000"
Infiniti QX60 PURE AWD 2023 Gray,Infiniti,QX60 PURE,2023,local used,automatic,"₦ 168,000,000"
Toyota Highlander XSE AWD 2023 Black,Toyota,Highlander XSE,2023,foreign used,automatic,"₦ 68,500,000"
Toyota Hilux 2015 White,Toyota,Hilux,2015,local used,manual,"₦ 19,500,000"
Toyota Fortuner 2019 Black,Toyota,Fortuner,2019,local used,automatic,"₦ 52,000,000"
New Toyota Land Cruiser 2026 White,New,Toyota Land,2026,brand new,manual,"₦ 124,000,000"
Mercedes-Benz GLC-Class 2016 Gray,Mercedes-Benz,GLC-Class,2016,foreign used,automatic,"₦ 26,500,000"
Lexus RX 350 2016 Black,Lexus,RX 350,2016,foreign used,automatic,"₦ 44,200,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2016 Black,Toyota,Camry SE,2016,foreign used,automatic,"₦ 14,500,000"
Mercedes-Benz GLC-Class 2016 Silver,Mercedes-Benz,GLC-Class,2016,foreign used,automatic,"₦ 29,500,000"
Hyundai Sonata 2021 Red,Hyundai,Sonata,2021,foreign used,automatic,"₦ 28,000,000"
Toyota Camry 2009 Gray,Toyota,Camry,2009,local used,automatic,"₦ 5,480,000"
New Toyota Land Cruiser 1958 2025 Black,New,Toyota Land,1958,brand new,automatic,"₦ 185,000,000"
Volkswagen Polo 1.2 2005 Black,Volkswagen,Polo 1,2005,local used,manual,"₦ 3,880,000"
Peugeot 406 2.0 2008 Blue,Peugeot,406 2,2008,local used,manual,"₦ 2,900,000"
Honda Accord 1999 Gold,Honda,Accord,1999,local used,automatic,"₦ 1,990,000"
Volkswagen Jetta 2005 Silver,Volkswagen,Jetta,2005,local used,automatic,"₦ 2,400,000"
Toyota Camry 2010 White,Toyota,Camry,2010,local used,automatic,"₦ 4,631,400"
New Mercedes-Benz G-Class 2025 Black,New,Mercedes-Benz G-Class,2025,brand new,automatic,"₦ 565,000,000"
Mercedes-Benz GLE-Class AMG GLE 63 S 4MATIC 2024 Silver,Mercedes-Benz,GLE-Class AMG,2024,foreign used,automatic,"₦ 335,000,000"
Mercedes-Benz C43 4Matic Cabriolet AWD (3.0L V6 9AM) 2017 White,Mercedes-Benz,C43 4Matic,2017,foreign used,automatic,"₦ 55,000,000"
Audi Q7 2007 White,Audi,Q7,2007,local used,automatic,"₦ 6,250,000"
Toyota Land Cruiser 2013 Black,Toyota,Land Cruiser,2013,local used,automatic,"₦ 34,000,000"
Honda Civic 2014 Gray,Honda,Civic,2014,local used,automatic,"₦ 7,850,000"
Mercedes-Benz GLB-Class GLB 250 4MATIC 2020 Silver,Mercedes-Benz,GLB-Class GLB,2020,local used,automatic,"₦ 45,000,000"
Mercedes-Benz GLE-Class AMG GLE 53 4MATIC 2022 Black,Mercedes-Benz,GLE-Class AMG,2022,foreign used,automatic,"₦ 125,000,000"
Lexus RX 350 AWD 2017 White,Lexus,RX 350,2017,foreign used,automatic,"₦ 39,000,000"
Jeep Wrangler 2014 Gray,Jeep,Wrangler,2014,local used,automatic,"₦ 14,500,000"
Toyota Land Cruiser Prado 4.0 2023 Black,Toyota,Land Cruiser,2023,local used,automatic,"₦ 55,500,000"
Land Rover Range Rover 2023 Black,Land,Rover Range,2023,local used,automatic,"₦ 340,000,000"
Rover Land 2008,Rover,Land,2008,local used,automatic,"₦ 7,900,000"
Toyota Avensis 2001 Blue,Toyota,Avensis,2001,local used,automatic,"₦ 3,990,000"
Mercedes-Benz GLE-Class GLE 350 2017 White,Mercedes-Benz,GLE-Class GLE,2017,foreign used,automatic,"₦ 31,000,000"
New Toyota Camry LE 2025 Black,New,Toyota Camry,2025,brand new,automatic,"₦ 107,000,000"
BMW 7 Series 760i xDrive AWD 2023 Silver,BMW,7 Series,2023,foreign used,automatic,"₦ 270,000,000"
Ford Edge 2021 Black,Ford,Edge,2021,foreign used,automatic,"₦ 29,000,000"
Mercedes-Benz GLC-Class 2018 Black,Mercedes-Benz,GLC-Class,2018,foreign used,automatic,"₦ 43,000,000"
New Lexus LX LX 700h 2025 Black,New,Lexus LX,2025,brand new,automatic,"₦ 365,000,000"
Mercedes-Benz E400 2018 White,Mercedes-Benz,E400,2018,foreign used,automatic,"₦ 50,000,000"
Toyota Camry 2020 Blue,Toyota,Camry,2020,local used,automatic,"₦ 18,800,000"
Toyota Tacoma 2023 Silver,Toyota,Tacoma,2023,foreign used,automatic,"₦ 55,000,000"
Hyundai Santa Fe 2010 Blue,Hyundai,Santa Fe,2010,local used,automatic,"₦ 6,750,000"
Toyota Camry 2018 Black,Toyota,Camry,2018,local used,automatic,"₦ 18,000,000"
Mercedes-Benz GLE-Class GLE 350 2016 Black,Mercedes-Benz,GLE-Class GLE,2016,foreign used,automatic,"₦ 36,000,000"
Mercedes-Benz GLE-Class GLE 450 4MATIC 2021 Blue,Mercedes-Benz,GLE-Class GLE,2021,foreign used,automatic,"₦ 87,000,000"
Mercedes-Benz C400 4Matic AWD Sedan (3.0L V6 7A) 2015 Silver,Mercedes-Benz,C400 4Matic,2015,foreign used,automatic,"₦ 29,500,000"
Land Rover Range Rover Velar P340 SE R-Dynamic 4x4 2019 Gold,Land,Rover Range,2019,foreign used,automatic,"₦ 55,000,000"
New Toyota Hilux 2025 White,New,Toyota Hilux,2025,brand new,manual,"₦ 55,000,000"
Nissan Vanette 2008 White,Nissan,Vanette,2008,foreign used,automatic,"₦ 4,000,000"
Lexus RX 2012 Gray,Lexus,RX,2012,local used,automatic,"₦ 15,000,000"
JMC Boarding 2011 Silver,JMC,Boarding,2011,foreign used,manual,"₦ 17,000,000"
Hyundai Palisade 2021 White,Hyundai,Palisade,2021,foreign used,automatic,"₦ 64,000,000"
Honda Pilot 2011 Gray,Honda,Pilot,2011,foreign used,automatic,"₦ 10,200,000"
Mercedes-Benz G-Class G 63 AMG 2021 Black,Mercedes-Benz,G-Class G,2021,foreign used,automatic,"₦ 290,000,000"
Mercedes-Benz M Class ML400 4MATIC 4dr SUV AWD (3.0L 6cyl Turbo 7A) Black,,,,foreign used,automatic,"₦ 33,500,000"
Land Rover Range Rover Vogue 2020 Gray,Land,Rover Range,2020,local used,automatic,"₦ 46,500,000"
Lexus ES 2007 Silver,Lexus,ES,2007,local used,automatic,"₦ 9,492,187"
Toyota Highlander 2012 Green,Toyota,Highlander,2012,local used,automatic,"₦ 23,414,062"
Hyundai Elantra SE 4dr Sedan (1.8L 4cyl 6A) 2014 Black,Hyundai,Elantra SE,2014,foreign used,automatic,"₦ 12,300,000"
Lexus TX TX 350 AWD 2024 Black,Lexus,TX TX,2024,foreign used,automatic,"₦ 155,000,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2018 Gray,Mercedes-Benz,GLE-Class AMG,2018,foreign used,automatic,"₦ 76,000,000"
Toyota Avalon 2019 Black,Toyota,Avalon,2019,foreign used,automatic,"₦ 46,828,125"
Mercedes-Benz M Class ML 350 4Matic 2013 Black,Mercedes-Benz,M Class,2013,foreign used,automatic,"₦ 23,500,000"
Toyota Camry 2010 Black,Toyota,Camry,2010,local used,automatic,"₦ 4,480,000"
Hyundai Sonata 2012 Gray,Hyundai,Sonata,2012,foreign used,automatic,"₦ 10,800,000"
New Toyota Fortuner 2025 Black,New,Toyota Fortuner,2025,brand new,automatic,"₦ 94,000,000"
Honda Accord 2004 Silver,Honda,Accord,2004,local used,automatic,"₦ 3,480,000"
Volkswagen Golf 2003 Silver,Volkswagen,Golf,2003,local used,manual,"₦ 1,980,000"
Toyota Hilux 2024 Black,Toyota,Hilux,2024,foreign used,automatic,"₦ 84,000,000"
Mercedes-Benz E300 2017 Black,Mercedes-Benz,E300,2017,local used,automatic,"₦ 22,000,008"
Toyota Tundra 2025 Black,Toyota,Tundra,2025,foreign used,automatic,"₦ 97,500,000"
Toyota Camry 2025 Gray,Toyota,Camry,2025,foreign used,automatic,"₦ 68,000,000"
Toyota Hilux 2019,Toyota,Hilux,2019,local used,automatic,"₦ 47,500,000"
Toyota Camry 2008 Silver,Toyota,Camry,2008,local used,automatic,"₦ 5,850,000"
Toyota Sequoia 2006 Silver,Toyota,Sequoia,2006,local used,automatic,"₦ 6,000,000"
Land Rover Range Rover Sport 2023 Gray,Land,Rover Range,2023,foreign used,automatic,"₦ 189,843,750"
Toyota Camry 2007 Green,Toyota,Camry,2007,local used,automatic,"₦ 5,500,000"
Toyota Highlander Limited V6 4x2 (3.5L 6cyl 6A) 2016 White,Toyota,Highlander Limited,2016,foreign used,automatic,"₦ 24,000,000"
Toyota Tundra 2012 Black,Toyota,Tundra,2012,local used,automatic,"₦ 36,000,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2019 White,Mercedes-Benz,GLE-Class AMG,2019,foreign used,automatic,"₦ 68,000,000"
Mercedes-Benz GLE-Class GLE 350 2017 Red,Mercedes-Benz,GLE-Class GLE,2017,foreign used,automatic,"₦ 40,000,000"
Lexus RX 350 2010 White,Lexus,RX 350,2010,foreign used,automatic,"₦ 19,500,000"
Toyota Corolla 2005 Blue,Toyota,Corolla,2005,local used,automatic,"₦ 5,180,000"
Toyota Corolla 2008 Silver,Toyota,Corolla,2008,local used,automatic,"₦ 5,800,000"
Ford Maverick 2023,Ford,Maverick,2023,foreign used,automatic,"₦ 72,000,000"
Toyota Camry LE FWD 2020 Red,Toyota,Camry LE,2020,foreign used,automatic,"₦ 28,500,000"
Toyota Hilux 2021 Black,Toyota,Hilux,2021,foreign used,automatic,"₦ 78,000,000"
Toyota Highlander XLE V6 4x4 (3.5L 6cyl 6A) 2016 Black,Toyota,Highlander XLE,2016,local used,automatic,"₦ 23,800,000"
Toyota Agya 2023 White,Toyota,Agya,2023,foreign used,automatic,"₦ 82,000,000"
New Toyota Land Cruiser 2026 Black,New,Toyota Land,2026,brand new,automatic,"₦ 205,000,000"
BMW X3 2013 White,BMW,X3,2013,local used,automatic,"₦ 12,000,000"
Lexus RX 2013 Black,Lexus,RX,2013,local used,automatic,"₦ 13,500,000"
Mercedes-Benz CLA-Class 2014 Gray,Mercedes-Benz,CLA-Class,2014,foreign used,automatic,"₦ 12,000,000"
Lexus RX 350 2WD 2020 Gold,Lexus,RX 350,2020,foreign used,automatic,"₦ 42,000,000"
Toyota Hilux 2022 White,Toyota,Hilux,2022,foreign used,automatic,"₦ 77,000,000"
Toyota Highlander XLE AWD 2020 Silver,Toyota,Highlander XLE,2020,foreign used,automatic,"₦ 53,000,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2018 Gray,Mercedes-Benz,GLE-Class AMG,2018,foreign used,automatic,"₦ 45,000,000"
Ford Focus 2013 White,Ford,Focus,2013,local used,automatic,"₦ 4,500,000"
Toyota Corolla 2007 Gray,Toyota,Corolla,2007,local used,automatic,"₦ 3,500,000"
Honda Civic 2006 Blue,Honda,Civic,2006,local used,automatic,"₦ 5,200,000"
Toyota Corolla 2017 White,Toyota,Corolla,2017,foreign used,automatic,"₦ 13,450,000"
Lexus RX 2016 White,Lexus,RX,2016,foreign used,automatic,"₦ 47,000,000"
Mercedes-Benz GLE-Class 2016 Black,Mercedes-Benz,GLE-Class,2016,foreign used,automatic,"₦ 68,000,000"
Toyota Highlander 2007 Gold,Toyota,Highlander,2007,local used,automatic,"₦ 5,600,000"
Nissan Altima 2011 Silver,Nissan,Altima,2011,local used,automatic,"₦ 4,480,000"
Honda Ridgeline 2008 Black,Honda,Ridgeline,2008,foreign used,automatic,"₦ 11,800,000"
New Mercedes-Benz G-Class 2025 Black,New,Mercedes-Benz G-Class,2025,brand new,automatic,"₦ 870,000,000"
Cadillac Escalade 2022 White,Cadillac,Escalade,2022,foreign used,automatic,"₦ 148,000,000"
Honda Crosstour 2011 White,Honda,Crosstour,2011,local used,automatic,"₦ 4,900,000"
Toyota Highlander 2009 Black,Toyota,Highlander,2009,local used,automatic,"₦ 7,850,000"
Toyota Picnic 2.0 FWD 2004 Blue,Toyota,Picnic 2,2004,local used,manual,"₦ 4,650,000"
Mercedes-Benz C400 2016 Black,Mercedes-Benz,C400,2016,foreign used,automatic,"₦ 33,000,000"
Dodge Challenger 2017 Red,Dodge,Challenger,2017,foreign used,automatic,"₦ 29,500,000"
Acura ZDX Base AWD 2011 Silver,Acura,ZDX Base,2011,foreign used,automatic,"₦ 19,200,000"
Mercedes-Benz GLK-Class 350 SUV 2013 White,Mercedes-Benz,GLK-Class 350,2013,foreign used,automatic,"₦ 25,000,000"
Toyota RAV4 LE 4dr SUV AWD (2.5L 4cyl 6A) 2014 Gray,Toyota,RAV4 LE,2014,local used,automatic,"₦ 13,500,000"
Toyota Avalon 2006 Gray,Toyota,Avalon,2006,local used,automatic,"₦ 3,980,000"
Toyota Sienna 2010 Green,Toyota,Sienna,2010,local used,automatic,"₦ 6,900,000"
Toyota Camry 2004 Red,Toyota,Camry,2004,local used,automatic,"₦ 3,900,000"
Lexus LX 600 2023 White,Lexus,LX 600,2023,foreign used,automatic,"₦ 235,000,000"
Hyundai Tucson 2019 Black,Hyundai,Tucson,2019,foreign used,automatic,"₦ 23,800,000"
New Toyota Land Cruiser 2024 Black,New,Toyota Land,2024,brand new,automatic,"₦ 215,000,000"
Mercedes-Benz GLE-Class 2022 Black,Mercedes-Benz,GLE-Class,2022,foreign used,automatic,"₦ 68,500,000"
Rolls-Royce Phantom Base EWB 2014 Gray,Rolls-Royce,Phantom Base,2014,foreign used,automatic,"₦ 540,000,000"
BMW X5 xDrive35i Sport Activity 2012 Gray,BMW,X5 xDrive35i,2012,foreign used,automatic,"₦ 10,780,000"
Ford Flex 2015,Ford,Flex,2015,foreign used,automatic,"₦ 15,000,000"
Infiniti QX60 2015 Silver,Infiniti,QX60,2015,local used,automatic,"₦ 10,000,000"
Lexus RX 330 2004 Black,Lexus,RX 330,2004,foreign used,automatic,"₦ 8,900,000"
Mercedes-Benz C450 2016 Black,Mercedes-Benz,C450,2016,local used,automatic,"₦ 19,000,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2015 White,Toyota,Camry SE,2015,foreign used,automatic,"₦ 15,500,000"
Mercedes-Benz C300 Luxury Sedan RWD (2.0L 4cyl 7A) 2016 White,Mercedes-Benz,C300 Luxury,2016,foreign used,automatic,"₦ 21,500,000"
Mercedes-Benz GLC-Class 2017 White,Mercedes-Benz,GLC-Class,2017,foreign used,automatic,"₦ 34,000,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2017 White,Mercedes-Benz,GLE-Class AMG,2017,foreign used,automatic,"₦ 56,000,000"
Lexus RX 2022,Lexus,RX,2022,foreign used,automatic,"₦ 84,000,000"
Kia Optima 2015 White,Kia,Optima,2015,foreign used,automatic,"₦ 11,500,000"
Honda Ridgeline 2007 Gray,Honda,Ridgeline,2007,local used,automatic,"₦ 7,900,000"
Land Rover Range Rover Sport 2013 Gray,Land,Rover Range,2013,local used,automatic,"₦ 10,500,000"
Toyota Corolla 2014 Black,Toyota,Corolla,2014,foreign used,automatic,"₦ 12,780,000"
Volkswagen Passat 2013 Silver,Volkswagen,Passat,2013,local used,automatic,"₦ 6,000,000"
New Mercedes-Benz GLC-Class 2025 Black,New,Mercedes-Benz GLC-Class,2025,brand new,automatic,"₦ 167,000,000"
Toyota Sequoia 2009 Black,Toyota,Sequoia,2009,local used,automatic,"₦ 11,500,000"
Hyundai Elantra 2013 Silver,Hyundai,Elantra,2013,foreign used,automatic,"₦ 9,350,000"
Honda Accord 2019 White,Honda,Accord,2019,local used,automatic,"₦ 15,500,000"
Nissan Almera 2015 Gray,Nissan,Almera,2015,local used,automatic,"₦ 5,850,000"
Mercedes-Benz G-Class 2015 Black,Mercedes-Benz,G-Class,2015,local used,automatic,"₦ 66,500,000"
Mercedes-Benz C300 Sport 4dr AWD 4Matic Sedan (2.0L 4cyl 7A) 2015 White,Mercedes-Benz,C300 Sport,2015,foreign used,automatic,"₦ 17,700,000"
Mercedes-Benz C300 2020 White,Mercedes-Benz,C300,2020,foreign used,automatic,"₦ 33,500,000"
Zeekr 9X 2025 Black,Zeekr,9X,2025,foreign used,automatic,"₦ 150,000,000"
New Mercedes-Benz GLE-Class AMG GLE 63 S AWD 2025 White,New,Mercedes-Benz GLE-Class,2025,brand new,automatic,"₦ 295,000,000"
Volkswagen Golf 1999 Green,Volkswagen,Golf,1999,local used,manual,"₦ 1,900,000"
Hyundai Sonata 2010 Silver,Hyundai,Sonata,2010,local used,automatic,"₦ 7,000,000"
Toyota Camry 2008 White,Toyota,Camry,2008,local used,automatic,"₦ 5,480,000"
Peugeot 206 2003 Silver,Peugeot,206,2003,foreign used,manual,"₦ 3,700,000"
Toyota Land Cruiser 2014 Black,Toyota,Land Cruiser,2014,local used,automatic,"₦ 25,500,000"
Mercedes-Benz S-Class 2024 White,Mercedes-Benz,S-Class,2024,foreign used,automatic,"₦ 128,000,000"
Lexus RX 2018 White,Lexus,RX,2018,foreign used,automatic,"₦ 46,500,000"
Toyota Hilux 2020 White,Toyota,Hilux,2020,local used,automatic,"₦ 47,500,000"
Lexus RX 2014 Gold,Lexus,RX,2014,foreign used,automatic,"₦ 19,950,000"
Lexus RX 350 F Sport AWD 2016 Black,Lexus,RX 350,2016,foreign used,automatic,"₦ 48,000,000"
New Toyota Tundra Platinum CrewMax 6.5' Bed 2023 Gray,New,Toyota Tundra,2023,brand new,automatic,"₦ 155,000,000"
Lexus RX 2005 Gold,Lexus,RX,2005,local used,automatic,"₦ 7,900,000"
BMW 7 Series 760i xDrive AWD 2023 Gray,BMW,7 Series,2023,foreign used,automatic,"₦ 320,000,000"
Lexus GX 460 2010 Black,Lexus,GX 460,2010,local used,automatic,"₦ 21,900,000"
Mercedes-Benz C300 2008 Gold,Mercedes-Benz,C300,2008,local used,automatic,"₦ 7,700,000"
